번호,URL,category,task,regionParam,expectedKeyword,statusCode,title,titleStatus,h1,h1Status,canonical,canonicalStatus,descriptionStatus,noindexStatus,businessCardCount,businessCardStatus,nearbyLinkCount,relatedTaskLinkCount,internalLinkStatus,faqCount,faqStatus,imageAltStatus,forbiddenTextStatus,issueSummary,finalStatus
21,https://dongnebook-01.vercel.app/landing.html?reg=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%97%AD%EC%82%BC%EB%8F%99&amp;cat=waterproof-leak&amp;task=rain-leak,waterproof-leak,rain-leak,서울 강남구 역삼동,역삼동,200,역삼동 빗물누수 업체 찾기 | 동네책자,PASS,역삼동 빗물누수 업체 찾기,PASS,https://dongnebook-01.vercel.app/landing.html?reg=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%97%AD%EC%82%BC%EB%8F%99&cat=waterproof-leak&task=rain-leak,PASS,PASS,PASS (noindex 없음),1,PASS,3,5,PASS,5,PASS,PASS,PASS,없음,PASS
22,https://dongnebook-01.vercel.app/landing.html?reg=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%97%AD%EC%82%BC%EB%8F%99&amp;cat=waterproof-leak&amp;task=exterior-leak,waterproof-leak,exterior-leak,서울 강남구 역삼동,역삼동,200,역삼동 외벽누수 업체 찾기 | 동네책자,PASS,역삼동 외벽누수 업체 찾기,PASS,https://dongnebook-01.vercel.app/landing.html?reg=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%97%AD%EC%82%BC%EB%8F%99&cat=waterproof-leak&task=exterior-leak,PASS,PASS,PASS (noindex 없음),1,PASS,3,5,PASS,5,PASS,PASS,PASS,없음,PASS
23,https://dongnebook-01.vercel.app/landing.html?reg=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%97%AD%EC%82%BC%EB%8F%99&amp;cat=waterproof-leak&amp;task=rooftop-leak,waterproof-leak,rooftop-leak,서울 강남구 역삼동,역삼동,200,역삼동 옥상누수 업체 찾기 | 동네책자,PASS,역삼동 옥상누수 업체 찾기,PASS,https://dongnebook-01.vercel.app/landing.html?reg=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%97%AD%EC%82%BC%EB%8F%99&cat=waterproof-leak&task=rooftop-leak,PASS,PASS,PASS (noindex 없음),1,PASS,3,5,PASS,5,PASS,PASS,PASS,없음,PASS
24,https://dongnebook-01.vercel.app/landing.html?reg=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%97%AD%EC%82%BC%EB%8F%99&amp;cat=window-caulking&amp;task=window-caulking-task,window-caulking,window-caulking-task,서울 강남구 역삼동,역삼동,200,역삼동 창틀코킹 업체 찾기 | 동네책자,PASS,역삼동 창틀코킹 업체 찾기,PASS,https://dongnebook-01.vercel.app/landing.html?reg=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%97%AD%EC%82%BC%EB%8F%99&cat=window-caulking&task=window-caulking-task,PASS,PASS,PASS (noindex 없음),1,PASS,3,5,PASS,5,PASS,PASS,PASS,없음,PASS
25,https://dongnebook-01.vercel.app/landing.html?reg=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%97%AD%EC%82%BC%EB%8F%99&amp;cat=window-caulking&amp;task=window-leak,window-caulking,window-leak,서울 강남구 역삼동,역삼동,200,역삼동 창틀누수 업체 찾기 | 동네책자,PASS,역삼동 창틀누수 업체 찾기,PASS,https://dongnebook-01.vercel.app/landing.html?reg=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%97%AD%EC%82%BC%EB%8F%99&cat=window-caulking&task=window-leak,PASS,PASS,PASS (noindex 없음),1,PASS,3,5,PASS,5,PASS,PASS,PASS,없음,PASS
26,https://dongnebook-01.vercel.app/landing.html?reg=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%97%AD%EC%82%BC%EB%8F%99&amp;cat=window-caulking&amp;task=window-silicon,window-caulking,window-silicon,서울 강남구 역삼동,역삼동,200,역삼동 창틀실리콘 업체 찾기 | 동네책자,PASS,역삼동 창틀실리콘 업체 찾기,PASS,https://dongnebook-01.vercel.app/landing.html?reg=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%97%AD%EC%82%BC%EB%8F%99&cat=window-caulking&task=window-silicon,PASS,PASS,PASS (noindex 없음),1,PASS,3,5,PASS,5,PASS,PASS,PASS,없음,PASS
27,https://dongnebook-01.vercel.app/landing.html?reg=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%97%AD%EC%82%BC%EB%8F%99&amp;cat=window-caulking&amp;task=chassis-silicon,window-caulking,chassis-silicon,서울 강남구 역삼동,역삼동,200,역삼동 샷시실리콘 업체 찾기 | 동네책자,PASS,역삼동 샷시실리콘 업체 찾기,PASS,https://dongnebook-01.vercel.app/landing.html?reg=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%97%AD%EC%82%BC%EB%8F%99&cat=window-caulking&task=chassis-silicon,PASS,PASS,PASS (noindex 없음),1,PASS,3,5,PASS,5,PASS,PASS,PASS,없음,PASS
28,https://dongnebook-01.vercel.app/landing.html?reg=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%97%AD%EC%82%BC%EB%8F%99&amp;cat=window-caulking&amp;task=window-rain-leak,window-caulking,window-rain-leak,서울 강남구 역삼동,역삼동,200,역삼동 빗물누수 업체 찾기 | 동네책자,PASS,역삼동 빗물누수 업체 찾기,PASS,https://dongnebook-01.vercel.app/landing.html?reg=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%97%AD%EC%82%BC%EB%8F%99&cat=window-caulking&task=window-rain-leak,PASS,PASS,PASS (noindex 없음),1,PASS,3,5,PASS,5,PASS,PASS,PASS,없음,PASS
29,https://dongnebook-01.vercel.app/landing.html?reg=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%97%AD%EC%82%BC%EB%8F%99&amp;cat=elastic-coating&amp;task=elastic-coating,elastic-coating,elastic-coating,서울 강남구 역삼동,역삼동,200,역삼동 탄성코트 업체 찾기 | 동네책자,PASS,역삼동 탄성코트 업체 찾기,PASS,https://dongnebook-01.vercel.app/landing.html?reg=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%97%AD%EC%82%BC%EB%8F%99&cat=elastic-coating&task=elastic-coating,PASS,PASS,PASS (noindex 없음),1,PASS,3,5,PASS,5,PASS,PASS,PASS,없음,PASS
30,https://dongnebook-01.vercel.app/landing.html?reg=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%97%AD%EC%82%BC%EB%8F%99&amp;cat=elastic-coating&amp;task=elastic-coating-work,elastic-coating,elastic-coating-work,서울 강남구 역삼동,역삼동,200,역삼동 탄성코트시공 업체 찾기 | 동네책자,PASS,역삼동 탄성코트시공 업체 찾기,PASS,https://dongnebook-01.vercel.app/landing.html?reg=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%97%AD%EC%82%BC%EB%8F%99&cat=elastic-coating&task=elastic-coating-work,PASS,PASS,PASS (noindex 없음),1,PASS,3,5,PASS,5,PASS,PASS,PASS,없음,PASS
